feature,importance
Contract_Month-to-Month,0.6991774097144459
Tenure in Months,0.38477865910929954
Age,0.3540875063438234
Avg Monthly Long Distance Charges,0.33254519761914586
charge_per_service,0.2857803677002032
long_distance_share,0.26211022905330533
Monthly Charge,0.2539168090734973
Number of Referrals,0.24879962349443233
Total Charges,0.24268164722468707
Avg Monthly GB Download,0.22280685160398586
Total Long Distance Charges,0.2203854071026982
CLTV,0.21491331352699408
Online Security_No,0.2127281042416248
charge_per_month_ratio,0.17961150281199212
Payment Method_Credit Card,0.17310866248789086
Paperless Billing_No,0.1316558408696822
Number of Dependents,0.09994433968577027
Married_No,0.09893391114635663
Contract_Two Year,0.07679128918763212
Online Backup_No,0.06914155982581724
Payment Method_Bank Withdrawal,0.06549060643518188
Offer_Offer A,0.06444338208646572
Gender_Female,0.06078593944438206
Online Security_Yes,0.04110537518120768
Premium Tech Support_No,0.040150674341339225
nb_services,0.038633707755992314
tenure_bucket_13-24m,0.03411027923959512
Paperless Billing_Yes,0.03018388308385533
Contract_One Year,0.029790250114914367
Multiple Lines_No,0.029094443106720377
tenure_bucket_25-48m,0.028823669429257563
Offer_No Offer,0.026631388037628625
Device Protection Plan_No,0.025670031058339683
Offer_Offer C,0.02513751866800316
Gender_Male,0.025061210833163747
Online Backup_Yes,0.02435502198140059
Total Extra Data Charges,0.024294304436216007
Total Refunds,0.022574781017898775
Internet Type_DSL,0.02074615240358328
Streaming Movies_No,0.02068280072811195
tenure_bucket_0-12m,0.018093496627634667
refund_rate,0.016814545541589638
Dependents_No,0.016070331571652413
is_autopay,0.015341185361877617
Unlimited Data_Yes,0.01499960933981012
Streaming TV_No,0.014377675449024066
Senior Citizen_No,0.014096399024838337
Device Protection Plan_Yes,0.013243538264986896
Offer_Offer E,0.012680210981576609
Multiple Lines_Yes,0.011218682416937268
Unlimited Data_No,0.010510350507232718
Married_Yes,0.009587121480006738
Offer_Offer B,0.009496483020101271
Streaming Movies_Yes,0.009160028020156592
Payment Method_Mailed Check,0.008617781445790654
Internet Type_Cable,0.008204240746049437
Premium Tech Support_Yes,0.007779096365107812
extra_charges_rate,0.0074932960490433605
has_referred,0.006326556026282047
Streaming TV_Yes,0.005108567669928747
Streaming Music_No,0.004285493697596579
Streaming Music_Yes,0.003758706886998626
Offer_Offer D,0.001899523000090461
tenure_bucket_49-72m,0.0017624562842964671
Internet Service_Yes,0.0013853318508742286
Internet Type_Fiber Optic,0.0006040407873864925
Dependents_Yes,0.0005210026610492707
Internet Service_No,0.0
Phone Service_Yes,0.0
Phone Service_No,0.0
Senior Citizen_Yes,0.0
household_size,0.0
Under 30_No,0.0
Under 30_Yes,0.0
Internet Type_No Internet,0.0
