Age,Number of Dependents,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,CLTV,nps_label,charge_per_month_ratio,refund_rate,extra_charges_rate,long_distance_share,nb_services,charge_per_service,is_autopay,household_size,has_referred,Gender_Female,Gender_Male,Under 30_No,Under 30_Yes,Senior Citizen_No,Senior Citizen_Yes,Married_No,Married_Yes,Dependents_No,Dependents_Yes,Referred a Friend_No,Referred a Friend_Yes,Offer_No Offer,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Phone Service_No,Phone Service_Yes,Multiple Lines_No,Multiple Lines_Yes,Internet Service_No,Internet Service_Yes,Internet Type_Cable,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_No Internet,Online Security_No,Online Security_Yes,Online Backup_No,Online Backup_Yes,Device Protection Plan_No,Device Protection Plan_Yes,Premium Tech Support_No,Premium Tech Support_Yes,Streaming TV_No,Streaming TV_Yes,Streaming Movies_No,Streaming Movies_Yes,Streaming Music_No,Streaming Music_Yes,Unlimited Data_No,Unlimited Data_Yes,Contract_Month-to-Month,Contract_One Year,Contract_Two Year,Paperless Billing_No,Paperless Billing_Yes,Payment Method_Bank Withdrawal,Payment Method_Credit Card,Payment Method_Mailed Check,tenure_bucket_0-12m,tenure_bucket_13-24m,tenure_bucket_25-48m,tenure_bucket_49-72m,nps_encoded
78,0,0,1,0.0,8,39.65,39.65,0.0,20,0.0,5433,Detractor,19.825,0.0,0.4920049200492005,0.0,3,9.9125,0,1,0,False,True,True,False,False,True,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,True,False,False,True,True,False,True,False,False,True,True,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,0
74,1,1,8,48.85,17,80.65,633.3,0.0,0,390.8,5302,Detractor,70.36666666666666,0.0,0.0,0.6161122497241054,5,13.441666666666668,0,2,1,True,False,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,True,False,False,False,0
71,3,0,18,11.33,52,95.45,1752.55,45.61,0,203.94,3179,Detractor,92.23947368421052,0.026010093809700322,0.0,0.11630121753015311,7,11.93125,0,4,0,False,True,True,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,True,False,False,False,True,True,False,False,False,True,False,False,0
78,1,1,25,19.76,12,98.5,2514.5,13.43,0,494.00000000000006,5337,Detractor,96.71153846153847,0.00533889882727092,0.0,0.1963824289405685,7,12.3125,0,2,1,True,False,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,True,True,False,False,False,True,True,False,False,False,False,True,False,0
80,1,1,37,6.33,14,76.5,2868.15,0.0,0,234.21,2793,Detractor,75.47763157894737,0.0,0.0,0.08163044804210307,4,15.3,0,2,1,True,False,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,True,False,False,False,False,True,False,0
72,1,0,27,3.33,18,78.05,2135.5,0.0,10,89.91,4638,Detractor,76.26785714285714,0.0,0.1265022137887413,0.04208284577580154,4,15.61,0,2,0,True,False,True,False,False,True,True,False,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,0
76,2,1,1,15.28,30,70.45,70.45,0.0,0,15.28,3964,Detractor,35.225,0.0,0.0,0.21385584324702586,3,17.6125,0,3,1,True,False,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,False,False,True,True,False,False,False,0
66,0,6,58,0.0,24,45.3,2651.2,40.95,0,0.0,5444,Detractor,44.93559322033898,0.015440012065455096,0.0,0.0,5,7.55,0,1,1,False,True,True,False,False,True,False,True,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,True,False,True,False,False,True,True,False,False,True,True,False,False,False,True,True,False,False,False,False,False,True,0
70,2,0,15,44.07,19,74.45,1145.7,0.0,0,661.05,5717,Detractor,71.60625,0.0,0.0,0.5764803348739862,4,14.89,0,3,0,True,False,True,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,0
77,2,0,7,26.95,18,76.45,503.6,11.05,0,188.65,4419,Detractor,62.95,0.021898533491874754,0.0,0.3738604835513278,3,19.1125,0,3,0,True,False,True,False,False,True,True,False,False,True,True,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,0
78,1,0,11,11.59,29,95.0,1120.3,0.0,120,127.49,5980,Detractor,93.35833333333333,0.0,1.25,0.11369838580219388,5,15.833333333333334,0,2,0,True,False,True,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,True,False,False,True,True,False,True,False,False,True,False,True,True,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,0
65,0,0,15,29.11,29,74.4,1074.3,0.0,0,436.65,4616,Detractor,67.14375,0.0,0.0,0.4060727238910072,4,14.88,0,1,0,False,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,0
77,0,1,1,0.0,12,40.2,40.2,0.0,0,0.0,5828,Detractor,20.1,0.0,0.0,0.0,4,8.040000000000001,0,1,1,False,True,True,False,False,True,False,True,True,False,False,True,False,False,False,False,False,True,True,False,True,False,False,True,False,True,False,False,True,False,False,True,True,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True,False,True,False,False,True,False,False,False,0
67,0,0,3,0.0,28,41.15,132.2,0.0,0,0.0,2314,Detractor,33.05,0.0,0.0,0.0,5,6.858333333333333,0,1,0,False,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,False,True,True,False,True,False,False,True,False,True,False,False,True,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,False,False,True,True,False,False,True,False,False,False,0
68,0,0,13,32.68,11,106.9,1364.3,0.0,10,424.84,2494,Detractor,97.45,0.0,0.09267840593141798,0.3111697062916575,7,13.3625,0,1,0,False,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,True,True,False,False,False,True,False,False,True,False,True,True,False,False,True,False,True,True,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,0
68,0,0,16,9.43,9,94.45,1511.2,0.0,0,150.88,3810,Detractor,88.89411764705882,0.0,0.0,0.09977516201560639,7,11.80625,0,1,0,True,False,True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False,True,True,False,False,False,True,False,False,0
